Date,High_2018,Low_2018,High_2017,Low_2017
101,50.0,34.0,82.0,48.0
102,42.1,30.2,84.9,55.9
103,41.0,27.1,64.9,44.0
104,48.9,24.3,73.9,55.0
105,50.0,25.2,72.0,46.0
106,53.1,26.2,75.0,46.9
107,60.1,31.1,68.0,35.1
108,69.1,37.9,48.0,25.2
109,77.0,57.0,62.1,25.2
110,72.0,62.1,71.1,35.1
111,77.0,60.1,73.9,45.0
112,69.1,57.0,79.0,46.9
113,57.0,32.0,81.0,53.1
114,55.0,30.2,75.9,53.1
115,59.0,32.0,79.0,50.0
116,66.9,30.2,79.0,53.1
117,55.0,28.2,82.0,50.0
118,51.1,21.2,79.0,52.0
119,62.1,23.2,80.1,55.9
120,63.0,28.2,81.0,61.0
121,73.0,39.9,82.9,63.0
122,78.1,46.9,82.0,60.1
123,73.0,44.1,66.9,52.0
124,66.0,35.1,73.0,46.9
125,63.0,42.1,79.0,39.9
126,71.1,42.1,80.1,57.0
127,75.0,52.0,64.0,42.1
128,77.0,53.1,51.1,35.1
129,66.9,51.1,64.0,45.0
130,57.9,34.0,63.0,37.9
131,64.0,29.1,73.0,34.0
201,71.1,39.0,75.9,44.1
202,68.0,45.0,75.9,39.9
203,64.0,39.9,78.1,44.1
204,71.1,46.0,62.1,50.0
205,72.0,46.9,71.1,48.0
206,78.1,41.0,79.0,44.1
207,81.0,55.9,82.0,48.9
208,69.1,53.1,79.0,57.9
209,79.0,52.0,77.0,48.0
210,82.9,63.0,69.1,39.9
211,82.9,62.1,80.1,42.1
212,78.1,63.0,78.1,50.0
213,68.0,54.0,79.0,53.1
214,70.0,54.0,79.0,50.0
215,81.0,55.0,80.1,55.9
216,81.0,61.0,68.0,39.9
217,81.0,62.1,75.0,34.0
218,84.0,61.0,71.1,44.1
219,84.0,62.1,81.0,54.0
220,84.9,63.0,81.0,50.0
221,86.0,68.0,78.1,53.1
222,84.0,59.0,66.9,62.1
223,84.0,57.0,79.0,62.1
224,84.0,60.1,82.9,61.0
225,84.9,63.0,82.0,59.0
226,82.9,59.0,73.9,45.0
227,75.9,57.0,84.9,43.0
228,82.0,54.0,84.9,55.0
301,84.0,64.0,87.1,57.9
302,79.0,53.1,70.0,53.1
303,71.1,39.0,70.0,37.9
304,69.1,37.0,73.0,36.0
305,73.0,34.0,73.9,46.0
306,77.0,39.9,78.1,50.0
307,69.1,46.0,81.0,48.0
308,62.1,37.0,82.9,60.1
309,69.1,34.0,82.9,52.0
310,71.1,35.1,84.0,51.1
311,81.0,46.9,79.0,44.1
312,70.0,39.0,77.0,54.0
313,66.0,36.0,66.0,52.0
314,66.0,35.1,62.1,42.1
315,70.0,29.1,57.0,32.0
316,78.1,35.1,63.0,25.2
317,82.9,45.0,71.1,31.1
318,86.0,59.0,78.1,39.0
319,73.9,63.0,75.0,46.0
320,80.1,60.1,78.1,36.0
321,68.0,46.9,84.9,45.0
322,68.0,37.9,89.1,63.0
323,73.0,36.0,77.0,55.0
324,80.1,44.1,80.1,48.9
325,82.9,57.0,82.0,52.0
326,64.0,59.0,84.9,54.0
327,80.1,57.9,84.0,54.0
328,82.0,52.0,87.1,55.0
329,84.9,55.9,89.1,53.1
330,78.1,61.0,89.1,53.1
331,77.0,57.0,84.9,64.0
401,82.9,59.0,88.0,55.9
402,86.0,57.0,91.9,50.0
403,87.1,59.0,91.0,68.0
404,86.0,61.0,73.9,64.9
405,79.0,48.9,89.1,62.1
406,84.9,50.0,75.9,55.9
407,82.9,59.0,72.0,44.1
408,68.0,57.9,75.0,42.1
409,80.1,60.1,80.1,39.9
410,64.9,57.0,82.9,48.9
411,75.9,53.1,82.9,48.9
412,79.0,48.9,84.0,53.1
413,84.0,57.9,82.0,52.0
414,88.0,63.0,84.0,51.1
415,82.0,57.9,84.0,55.0
416,71.1,48.0,82.9,53.1
417,78.1,44.1,84.9,55.0
418,88.0,48.9,87.1,55.9
419,84.9,57.0,86.0,59.0
420,73.0,61.0,87.1,57.0
421,82.0,62.1,86.0,53.1
422,81.0,66.9,88.0,60.1
423,87.1,71.1,89.1,62.1
424,80.1,62.1,75.9,54.0
425,81.0,57.9,82.9,52.0
426,84.0,55.9,82.9,52.0
427,82.9,62.1,93.0,57.9
428,84.0,57.0,95.0,62.1
429,87.1,61.0,95.0,73.0
430,82.9,60.1,93.0,69.1
501,84.9,51.1,90.0,70.0
502,84.0,54.0,88.0,60.1
503,84.9,55.0,91.9,53.1
504,89.1,57.0,88.0,62.1
505,87.1,55.0,75.0,59.0
506,90.0,64.9,79.0,50.0
507,89.1,60.1,88.0,48.9
508,88.0,57.0,87.1,55.9
509,89.1,57.0,91.0,52.0
510,90.0,57.9,93.9,55.9
511,93.9,64.0,93.0,64.9
512,91.0,64.9,90.0,64.9
513,84.9,60.1,81.0,68.0
514,77.0,71.1,87.1,63.0
515,84.0,70.0,93.0,60.1
516,82.9,69.1,95.0,59.0
517,81.0,71.1,95.0,63.0
518,86.0,70.0,93.0,66.0
519,90.0,66.9,93.0,66.0
520,75.9,70.0,96.1,71.1
521,82.9,70.0,89.1,71.1
522,88.0,70.0,91.9,66.9
523,89.1,66.9,86.0,70.0
524,91.0,72.0,77.0,66.9
525,90.0,72.0,82.0,60.1
526,87.1,70.0,87.1,55.0
527,80.1,73.0,91.9,57.0
528,89.1,73.9,93.0,66.9
529,88.0,73.9,93.9,73.9
530,78.1,72.0,93.0,70.0
531,89.1,72.0,91.0,69.1
601,93.0,71.1,93.0,66.9
602,91.9,72.0,87.1,70.0
603,93.9,73.9,89.1,68.0
604,95.0,77.0,88.0,68.0
605,90.0,71.1,84.0,72.0
606,79.0,71.1,78.1,71.1
607,91.9,69.1,79.0,70.0
608,90.0,68.0,73.0,66.0
609,89.1,69.1,86.0,60.1
610,88.0,69.1,90.0,66.9
611,89.1,70.0,87.1,71.1
612,87.1,71.1,86.0,71.1
613,91.0,70.0,87.1,70.0
614,91.0,71.1,91.9,68.0
615,91.9,73.0,90.0,70.0
616,91.9,73.0,84.0,71.1
617,93.9,72.0,91.0,71.1
618,95.0,72.0,91.9,70.0
619,93.9,73.9,87.1,72.0
620,93.0,75.0,87.1,73.0
621,93.0,77.0,90.0,72.0
622,93.9,77.0,91.9,72.0
623,95.0,77.0,91.0,73.9
624,97.0,75.9,93.0,71.1
625,95.0,73.0,91.0,72.0
626,93.9,75.9,93.0,73.0
627,93.0,73.0,88.0,71.1
628,93.0,75.0,89.1,71.1
629,91.9,73.9,91.0,73.0
630,90.0,75.0,91.0,72.0
